snapshot_date,segment,n_listings,median_sqm_price,mean_sqm_price,median_price,median_days_on_market,pct_price_cut,median_cut_pct,sold_count,median_sold_sqm_price,median_sold_discount_pct,months_of_supply,new_listings,delisted
2026-09-14,all,2159,81271.0,82839.6,7199000.0,59.0,41.0,4.0,2913,75396.8,2.6,4.3,,
2026-09-14,apartment,1871,81263.0,82493.4,6995000.0,57.0,40.9,4.0,2678,75547.6,2.5,4.0,,
2026-09-14,dist:amager,570,69743.0,71862.3,6320000.0,62.0,39.3,4.0,687,67857.1,2.5,4.6,,
2026-09-14,dist:frederiksberg,206,83006.0,84267.1,6995000.0,47.0,38.8,4.5,313,75862.1,2.3,4.0,,
2026-09-14,dist:frederiksberg_c,116,96036.5,99534.7,11496500.0,68.5,41.4,5.0,165,90625.0,3.3,3.6,,
2026-09-14,dist:koebenhavn_k,274,93333.0,95197.7,9495000.0,79.5,37.6,5.0,293,89432.4,3.3,5.1,,
2026-09-14,dist:noerrebro,108,83728.5,83238.2,6145000.0,41.0,40.7,4.5,242,78491.1,2.6,2.5,,
2026-09-14,dist:nordhavn,60,103455.0,107169.6,10995000.0,81.5,36.7,5.5,39,96835.4,3.1,8.2,,
2026-09-14,dist:nordvest,89,70986.0,69167.8,4595000.0,41.0,52.8,4.0,176,67533.3,2.5,3.1,,
2026-09-14,dist:oesterbro,282,87330.0,89791.3,7822500.0,55.0,46.1,5.0,405,81532.3,2.6,4.5,,
2026-09-14,dist:sydhavn,119,76739.0,78667.1,7245000.0,49.0,33.6,4.0,150,73879.8,2.3,4.5,,
2026-09-14,dist:valby,169,68500.0,70076.9,5995000.0,53.0,45.6,4.0,243,65354.3,2.3,4.2,,
2026-09-14,dist:vesterbro,166,91298.5,89614.0,8772500.0,55.0,42.8,4.0,200,88776.6,2.2,4.6,,
2026-09-14,house,208,82339.0,86539.4,11795000.0,66.0,38.9,4.0,234,72696.9,2.8,5.2,,
2026-09-14,other,80,79087.0,81190.8,7395000.0,71.0,50.0,5.0,1,80000.0,11.1,,,
